stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
stop_203_12559,802-05,"Rondo Mogilskie","05",50.066002,19.958722,,,0,,,,
stop_204_12619,851-01,"Lubicz","01",50.065186,19.952104,,,0,,,,
stop_204_12629,851-02,"Lubicz","02",50.065046,19.951094,,,0,,,,
stop_204_12639,851-03,"Lubicz","03",50.065436,19.951621,,,0,,,,
stop_205_12719,852-01,"Uniwersytet Ekonomiczny","01",50.067608,19.952235,,,0,,,,
stop_205_12729,852-02,"Uniwersytet Ekonomiczny","02",50.068328,19.952638,,,0,,,,
stop_207_12919,803-01,"Cystersów","01",50.066523,19.970519,,,0,,,,
stop_207_12929,803-02,"Cystersów","02",50.06654,19.969149,,,0,,,,
stop_208_13019,804-01,"Białucha","01",50.067841,19.977991,,,0,,,,
stop_208_13029,804-02,"Białucha","02",50.067597,19.977192,,,0,,,,
stop_213_31119,301-01,"Salwator","01",50.052708,19.913739,,,0,,,,
stop_213_31129,301-02,"Salwator","02",50.052724,19.915028,,,0,,,,
stop_213_31139,301-03,"Salwator","03",50.05263,19.917407,,,0,,,,
stop_214_31319,300-01,"Komorowskiego","01",50.053451,19.921873,,,0,,,,
stop_214_31329,300-02,"Komorowskiego","02",50.053384,19.921893,,,0,,,,
stop_216_31919,823-01,"Jubilat","01",50.055498,19.928109,,,0,,,,
stop_216_31929,823-02,"Jubilat","02",50.054999,19.927052,,,0,,,,
stop_217_32019,346-01,"Reymana","01",50.061364,19.911163,,,0,,,,
stop_217_32029,346-02,"Reymana","02",50.061356,19.910722,,,0,,,,
stop_219_32219,822-01,"Filharmonia","01",50.05903,19.93387,,,0,,,,
stop_219_32229,822-02,"Filharmonia","02",50.058666,19.933001,,,0,,,,
stop_219_32239,822-03,"Filharmonia","03",50.05917,19.9331,,,0,,,,
stop_221_32519,818-01,"Wawel","01",50.05449,19.93963,,,0,,,,
stop_221_32529,818-02,"Wawel","02",50.054344,19.939404,,,0,,,,
stop_222_35719,806-01,"Poczta Główna","01",50.059797,19.942404,,,0,,,,
stop_222_35729,806-02,"Poczta Główna","02",50.059205,19.942571,,,0,,,,
stop_222_35739,806-03,"Poczta Główna","03",50.059339,19.941821,,,0,,,,
stop_223_35819,807-01,"Starowiślna","01",50.05731,19.94455,,,0,,,,
stop_223_35829,807-02,"Starowiślna","02",50.05689,19.945029,,,0,,,,
stop_223_35839,807-03,"Starowiślna","03",50.057227,19.946086,,,0,,,,
stop_223_35849,807-04,"Starowiślna","04",50.057262,19.946032,,,0,,,,
stop_224_35919,819-01,"Stradom","01",50.05148,19.941337,,,0,,,,
stop_224_35929,819-02,"Stradom","02",50.052086,19.941166,,,0,,,,
stop_224_35939,819-03,"Stradom","03",50.052258,19.942061,,,0,,,,
stop_224_35949,819-04,"Stradom","04",50.050842,19.942415,,,0,,,,
stop_225_36019,820-01,"Plac Wolnica","01",50.048028,19.943426,,,0,,,,
stop_225_36029,820-02,"Plac Wolnica","02",50.048114,19.943448,,,0,,,,
stop_226_36119,872-01,"Orzeszkowej","01",50.050631,19.938671,,,0,,,,
stop_226_36129,872-02,"Orzeszkowej","02",50.050546,19.938251,,,0,,,,
stop_227_36219,815-01,"Miodowa","01",50.053886,19.948108,,,0,,,,
stop_227_36229,815-02,"Miodowa","02",50.05321,19.9489,,,0,,,,
stop_228_36319,808-01,"Hala Targowa","01",50.058639,19.948875,,,0,,,,
stop_228_36329,808-02,"Hala Targowa","02",50.058678,19.948657,,,0,,,,
stop_230_36519,809-01,"Rondo Grzegórzeckie","01",50.057888,19.960296,,,0,,,,
stop_230_36529,809-02,"Rondo Grzegórzeckie","02",50.057558,19.957748,,,0,,,,
stop_230_36539,809-03,"Rondo Grzegórzeckie","03",50.058426,19.959244,,,0,,,,
stop_230_36549,809-04,"Rondo Grzegórzeckie","04",50.056894,19.958941,,,0,,,,
stop_232_36819,812-01,"Fabryczna","01",50.060437,19.970172,,,0,,,,
stop_232_36829,812-02,"Fabryczna","02",50.060251,19.971272,,,0,,,,
stop_233_36919,813-01,"Ofiar Dąbia","01",50.05959,19.976363,,,0,,,,
stop_233_36929,813-02,"Ofiar Dąbia","02",50.059629,19.976271,,,0,,,,
stop_234_37019,814-01,"Dąbie","01",50.060724,19.979185,,,0,,,,
stop_234_37029,814-02,"Dąbie","02",50.060709,19.979012,,,0,,,,
stop_237_37719,141-01,"Os. Złotego Wieku","01",50.093749,20.004333,,,0,,,,
stop_237_37729,141-02,"Os. Złotego Wieku","02",50.093667,20.004478,,,0,,,,
stop_238_37819,148-01,"Os. Piastów","01",50.101977,20.012058,,,0,,,,
stop_239_37919,147-01,"Piasta Kołodzieja","01",50.097862,20.013018,,,0,,,,
stop_239_37929,147-02,"Piasta Kołodzieja","02",50.098526,20.013051,,,0,,,,
stop_240_38219,144-01,"Kleeberga","01",50.095792,20.012713,,,0,,,,
stop_240_38229,144-02,"Kleeberga","02",50.095759,20.012638,,,0,,,,
stop_241_38319,143-01,"Rondo Piastowskie","01",50.094372,20.011221,,,0,,,,
stop_241_38329,143-02,"Rondo Piastowskie","02",50.094355,20.011302,,,0,,,,
stop_242_38819,161-01,"Dunikowskiego","01",50.092201,20.016038,,,0,,,,
stop_242_38829,161-02,"Dunikowskiego","02",50.092518,20.015491,,,0,,,,
stop_243_39219,135-01,"DH Wanda","01",50.084477,20.020671,,,0,,,,
stop_243_39229,135-02,"DH Wanda","02",50.084432,20.020689,,,0,,,,
stop_245_40719,102-01,"Czyżyny","01",50.07399,20.011459,,,0,,,,
stop_245_40729,102-02,"Czyżyny","02",50.074038,20.011272,,,0,,,,
stop_246_40819,103-01,"Rondo Czyżyńskie","01",50.0733,20.01888,,,0,,,,
stop_246_40829,103-02,"Rondo Czyżyńskie","02",50.07358,20.01606,,,0,,,,
stop_246_40839,103-03,"Rondo Czyżyńskie","03",50.074193,20.018028,,,0,,,,
stop_246_40849,103-04,"Rondo Czyżyńskie","04",50.072758,20.017068,,,0,,,,
stop_248_41319,104-01,"Os. Kolorowe","01",50.072198,20.0298,,,0,,,,
stop_248_41329,104-02,"Os. Kolorowe","02",50.072371,20.028517,,,0,,,,
stop_250_41819,136-01,"Os. Zgody","01",50.076921,20.030839,,,0,,,,
stop_250_41829,136-02,"Os. Zgody","02",50.076456,20.031524,,,0,,,,
