stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
289,186-02,"Sieroszewskiego","02",50.066130,20.051500,1,,0,,,0
290,187-01,"Szpital Żeromskiego","01",50.066390,20.046920,1,,0,,,0
291,187-02,"Szpital Żeromskiego","02",50.066550,20.046580,1,,0,,,0
294,188-03,"Os. Na Skarpie","03",50.069550,20.046200,1,,0,,,0
296,188-05,"Os. Na Skarpie","05",50.068510,20.045190,1,,0,,,0
299,189-03,"Klasztorna","03",50.068820,20.050260,1,,0,,,0
300,189-04,"Klasztorna","04",50.068810,20.051890,1,,0,,,0
301,190-02,"Os. Wandy","02",50.069390,20.048660,1,,0,,,0
302,191-02,"Os. Willowe","02",50.072240,20.053740,1,,0,,,0
303,191-04,"Os. Willowe","04",50.072760,20.053410,1,,0,,,0
305,192-04,"Zalew Nowohucki","04",50.075360,20.052740,1,,0,,,0
306,192-06,"Zalew Nowohucki","06",50.076120,20.051510,1,,0,,,0
309,193-03,"Zajezdnia Nowa Huta","03",50.084280,20.065720,1,,0,,,0
310,193-04,"Zajezdnia Nowa Huta","04",50.083380,20.065690,1,,0,,,0
313,194-03,"Elektromontaż","03",50.088170,20.066490,1,,0,,,0
314,194-04,"Elektromontaż","04",50.087880,20.062920,1,,0,,,0
315,194-05,"Elektromontaż","05",50.087960,20.062720,1,,0,,,0
316,194-06,"Elektromontaż","06",50.088010,20.066380,1,,0,,,0
319,195-03,"Lubocza SKA","03",50.088430,20.073320,1,,0,,,0
320,195-04,"Lubocza SKA","04",50.088340,20.073830,1,,0,,,0
322,196-01,"Lubocza Bugaj","01",50.092310,20.075070,1,,0,,,0
323,196-02,"Lubocza Bugaj","02",50.092110,20.075870,1,,0,,,0
324,197-01,"Lubocza Przychodnia","01",50.094810,20.083560,1,,0,,,0
325,197-02,"Lubocza Przychodnia","02",50.095000,20.084650,1,,0,,,0
326,198-01,"Lubocza Szkoła","01",50.095180,20.093040,1,,0,,,0
327,198-02,"Lubocza Szkoła","02",50.094980,20.093680,1,,0,,,0
329,199-01,"Lubocza Trafo","01",50.094400,20.100580,1,,0,,,0
330,199-02,"Lubocza Trafo","02",50.094320,20.100450,1,,0,,,0
333,200-01,"Wadowska","01",50.096480,20.119040,1,,0,,,0
334,200-02,"Wadowska","02",50.096690,20.120090,1,,0,,,0
359,201-01,"Wadów","01",50.097180,20.124130,1,,0,,,0
360,201-02,"Wadów","02",50.097370,20.124830,1,,0,,,0
425,2035-03,"Kryspinów Rondo","03",50.043630,19.798130,1,,0,,,0
493,2067-01,"Budzyń Zalew na Piaskach","01",50.049750,19.799590,1,,0,,,0
494,2067-02,"Budzyń Zalew na Piaskach","02",50.049240,19.799230,1,,0,,,0
499,207-01,"Wadów Os. Kolejowe","01",50.096910,20.128810,1,,0,,,0
500,207-02,"Wadów Os. Kolejowe","02",50.097330,20.128540,1,,0,,,0
525,208-01,"Wadów Glinik","01",50.093140,20.132500,1,,0,,,0
526,208-02,"Wadów Glinik","02",50.092760,20.133250,1,,0,,,0
738,217-03,"Koksochemia","03",50.072110,20.105390,1,,0,,,0
739,217-04,"Koksochemia","04",50.071730,20.104820,1,,0,,,0
760,218-03,"Pleszów","03",50.072720,20.118690,1,,0,,,0
761,218-04,"Pleszów","04",50.072660,20.120000,1,,0,,,0
762,218-05,"Pleszów","05",50.072720,20.117340,1,,0,,,0
784,219-01,"Brama nr 8","01",50.073580,20.125920,1,,0,,,0
785,219-02,"Brama nr 8","02",50.073450,20.126640,1,,0,,,0
804,220-01,"Szymańskiego","01",50.075140,20.138800,1,,0,,,0
805,220-02,"Szymańskiego","02",50.075020,20.139890,1,,0,,,0
806,220-04,"Szymańskiego","04",50.074360,20.139430,1,,0,,,0
826,221-01,"Wyciąska","01",50.077140,20.155480,1,,0,,,0
828,221-03,"Wyciąska","03",50.077530,20.154530,1,,0,,,0
851,222-01,"Cmentarz Ruszcza","01",50.084940,20.149770,1,,0,,,0
852,222-02,"Cmentarz Ruszcza","02",50.084980,20.149870,1,,0,,,0
873,223-02,"Ruszcza","02",50.086940,20.146420,1,,0,,,0
897,224-01,"Habina","01",50.057950,20.030200,1,,0,,,0
898,224-02,"Habina","02",50.057500,20.030900,1,,0,,,0
1487,251-01,"Barwinkowa","01",50.073390,20.151500,1,,0,,,0
1488,251-02,"Barwinkowa","02",50.074370,20.150660,1,,0,,,0
1511,252-01,"Prawocheńskiego","01",50.065420,20.152970,1,,0,,,0
1512,252-02,"Prawocheńskiego","02",50.065340,20.152890,1,,0,,,0
1533,253-01,"Rzepakowa Świetlica","01",50.057560,20.158730,1,,0,,,0
1534,253-02,"Rzepakowa Świetlica","02",50.057360,20.158830,1,,0,,,0
1554,254-01,"Przylasek Rusiecki Kąpielisko","01",50.054190,20.161620,1,,0,,,0
1555,254-02,"Przylasek Rusiecki Kąpielisko","02",50.053950,20.161760,1,,0,,,0
1556,254-03,"Przylasek Rusiecki Kąpielisko","03",50.054190,20.161620,1,,0,,,0
1576,255-01,"Przylasek SKA","01",50.051180,20.164240,1,,0,,,0
1577,255-02,"Przylasek SKA","02",50.050970,20.164150,1,,0,,,0
1599,256-01,"Przylasek Rusiecki","01",50.046250,20.163870,1,,0,,,0
1618,257-01,"Plastusia","01",50.068770,20.140100,1,,0,,,0
1619,257-02,"Plastusia","02",50.068650,20.139800,1,,0,,,0
1637,258-01,"Deszczowa","01",50.065520,20.141220,1,,0,,,0
1638,258-02,"Deszczowa","02",50.063900,20.141460,1,,0,,,0
1656,259-01,"Branice Szkoła","01",50.060280,20.143230,1,,0,,,0
1657,259-02,"Branice Szkoła","02",50.060190,20.143180,1,,0,,,0
1676,260-01,"Branice","01",50.059180,20.136710,1,,0,,,0
1677,260-02,"Branice","02",50.059160,20.136860,1,,0,,,0
1697,261-01,"Branice Ośrodek Zdrowia","01",50.058430,20.128900,1,,0,,,0
1698,261-02,"Branice Ośrodek Zdrowia","02",50.058330,20.129410,1,,0,,,0
1720,262-02,"Chałupki Górne","02",50.054990,20.125640,1,,0,,,0
1721,262-04,"Chałupki Górne","04",50.054650,20.125140,1,,0,,,0
1743,263-01,"Kąkolowa","01",50.051430,20.127430,1,,0,,,0
1744,263-02,"Kąkolowa","02",50.051300,20.127540,1,,0,,,0
1764,264-01,"Truskawkowa","01",50.047650,20.128170,1,,0,,,0
1765,264-03,"Truskawkowa","03",50.047590,20.128350,1,,0,,,0
1781,265-01,"Chałupki","01",50.048990,20.122050,1,,0,,,0
1802,266-01,"Suchy Jar","01",50.069700,20.107830,1,,0,,,0
1803,266-02,"Suchy Jar","02",50.069670,20.107460,1,,0,,,0
1821,267-01,"Gwarecka","01",50.066350,20.109640,1,,0,,,0
1822,267-02,"Gwarecka","02",50.066140,20.109550,1,,0,,,0
1845,268-01,"Karowa","01",50.060490,20.107980,1,,0,,,0
1846,268-02,"Karowa","02",50.060250,20.107460,1,,0,,,0
1866,269-02,"Kujawy","02",50.048190,20.100220,1,,0,,,0
1884,271-01,"Czyżyny Dworzec","01",50.075170,20.015250,1,,0,,,0
1886,272-01,"Węgrzynowice Dół","01",50.103520,20.149420,1,,0,,,0
1887,272-02,"Węgrzynowice Dół","02",50.103790,20.149610,1,,0,,,0
1895,273-01,"Węgrzynowice Centrum","01",50.111190,20.155900,1,,0,,,0
1896,273-02,"Węgrzynowice Centrum","02",50.110370,20.154780,1,,0,,,0
1907,274-02,"Węgrzynowice","02",50.115300,20.153710,1,,0,,,0
1908,275-01,"Spławy","01",50.093560,20.146840,1,,0,,,0
1909,275-02,"Spławy","02",50.093500,20.146910,1,,0,,,0
1914,276-01,"Cedyńska","01",50.090280,20.004310,1,,0,,,0
1915,277-01,"Os. Akademickie","01",50.087680,19.994240,1,,0,,,0
1916,277-02,"Os. Akademickie","02",50.087220,19.994980,1,,0,,,0
1929,279-01,"Barwna","01",50.107530,20.151690,1,,0,,,0
1930,279-02,"Barwna","02",50.107400,20.151660,1,,0,,,0
1994,282-01,"Wadów Działki","01",50.092800,20.139360,1,,0,,,0
